,selfies,carbons,nitrogens,oxygens,hydrogens
534,[C][C][C][C][C][C][C][C][C][C][C][Branch1][C][C][C][C][C][C][C][C][C][C],20,0,0,42
535,[N][C][=Branch1][C][=O][N][=N][C][Branch1][C][N][=O],2,4,2,4
536,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][O][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][Branch1][C][C][Branch1][C][C][C],14,0,1,22
537,[C][C][Branch2][Ring1][Ring2][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C][C][=O],14,0,1,20
538,[C][O][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1],14,2,2,14
539,[C-1][#O+1],1,0,1,0
540,[C][C][C][Branch1][C][C][Branch1][C][C][Cl],6,0,0,11
541,[N][#C][C][N][Branch1][N][C][C][N][Branch1][Ring2][C][C][#N][C][C][#N][C][C][#N],10,6,0,12
542,[C][C][Branch1][C][C][Branch1][C][C][O][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],11,0,3,14
543,[C][C][C][Branch1][C][C][Branch1][C][O][C][C][C][C][Branch1][C][C][C],10,0,1,22
544,[C][O][C][=C][C][=C][N][C][=Branch1][C][=S][N][C][Ring1][=Branch1][=C][Ring1][#Branch2],8,2,1,8
545,[Zn+2].[C][C][Branch1][C][C][C][C][C][C][C][O][PH0][Branch1][C][S-1][=Branch1][C][=S][O][C][C][C][C][C][C][Branch1][C][C][C].[C][C][Branch1][C][C][C][C][C][C][C][O][PH0][Branch1][C][S-1][=Branch1][C][=S][O][C][C][C][C][C][C][Branch1][C][C][C],32,1,4,68
546,[C][O][C][Ring1][Ring1][C][O][C][=C][C][=C][C][Branch1][Branch2][O][C][C][C][O][Ring1][Ring1][=C][C][=C][C][Ring1][O][=C][Ring1][#C],16,0,4,16
547,[C][C][Branch1][C][C][=C][C][C][\C][Branch1][C][C][=C][\C][O][C][=O],11,0,2,18
548,[O].[O].[O].[O].[Pb].[Pb].[Pb].[Pb].[Pb].[O-1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O],0,0,8,8
549,[C][C@@H1][C][C][=C][Branch1][C][C][C@H1][Branch1][Branch2][\C][=C][\C][Branch1][C][C][=O][C][Ring1][N][Branch1][C][C][C],14,0,1,22
550,[C][O][SiH1][Branch1][#Branch2][C][C][C][C][C][C][C][Ring1][=Branch1][O][C],9,0,2,20
551,[N][C][=C][C][=C][Branch2][Ring1][=Branch1][\C][=C][\C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][SH0][Branch1][C][O][=Branch1][C][=O][=O][C][=Branch1][Branch1][=C][Ring2][Ring1][Ring1][SH0][Branch1][C][O][=Branch1][C][=O][=O],14,2,6,14
552,[Zn+2].[C][C][=C][C][=C][C][N-1][C][=Branch1][C][=S][N][C][Ring1][#Branch2][=Ring1][=Branch1].[C][C][=C][C][=C][C][N][C][=Branch1][C][=S][N-1][C][Ring1][#Branch2][=Ring1][=Branch1],16,5,0,14
553,[O][C][=Branch1][C][=O][C][C][PH0][Branch1][C][O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],9,0,4,11
554,[O][=SH0][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1],14,0,1,14
555,[C][C][Branch1][C][C][Branch1][N][N][=N][C][Branch1][C][C][Branch1][C][C][C][#N][C][#N],8,4,0,12
556,[C][C][C][Branch1][C][C][C][O][C][=Branch1][C][=O][C][=C],8,0,2,14
557,[Cl][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=Branch2],8,1,0,4
558,[C][C][=C][C][=Branch1][C][=O][N][Branch1][C][O][C][=Branch1][Ring2][=C][Ring1][Branch2][C][C][C][C][C][C][Ring1][=Branch1].[N][C][C][O],14,2,3,24
559,[Cl][C][=C][C][=C][C][Branch1][C][Cl][=C][C][=N][C][Ring1][#Branch1][=C][Ring1][O],11,1,0,5
560,[N][C][=C][C][=C][C][=C][Ring1][=Branch1][SH0][Branch1][C][O][=Branch1][C][=O][=O],6,1,3,7
561,[Ti+4].[C][C][Branch1][C][C][O-1].[C][C][Branch1][C][C][O-1].[C][C][=Branch1][C][=O][CH1-1][C][Branch1][C][C][=O].[C][C][=Branch1][C][=O][CH1-1][C][Branch1][C][C][=O],16,0,6,28
562,[C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][SH0][Branch1][C][Cl][=Branch1][C][=O][=O],9,1,3,8
563,[C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C][C][C][C][Ring1][#Branch1][Branch1][C][C][C],12,0,2,22
564,[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C],10,0,4,10
565,[C][C][C][C][C][C][C][C][C][C][C][C][Ring1][Branch1][=O],12,0,1,22
566,[O][=C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],15,0,2,14
567,[C][N][Branch1][C][C][C][=Branch1][C][=S][S][C][=Branch1][C][=S][N][Branch1][C][C][C],6,2,0,12
568,[C][C@@H1][Branch1][Ring2][C][C][O][C][C][C][=C][Branch1][C][C][C],10,0,1,20
569,[C][C][C][=Branch1][C][=O][C][Branch1][C][C][C][C][=C][Branch1][C][C][C],10,0,1,18
570,[C][C][=C][C][Branch1][C][C][=C][Branch1][C][N][C][=Branch1][Ring2][=C][Ring1][Branch2][SH0][Branch1][C][O][=Branch1][C][=O][=O],8,1,3,11
571,[S][C][=C][C][=C][Ring1][Branch1],4,0,0,4
572,[C][C][Branch1][C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],15,0,2,16
573,[Cl][C][Branch1][C][Cl][Branch1][C][Cl][C][=O],5,0,1,1
574,[C][C][C][Branch1][C][C][C][O],5,0,1,12
575,[C][C][Branch1][C][C][C][C][O],5,0,1,12
576,[Na+1].[Na+1].[Na+1].[Na+1].[C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][=Branch1][S][C][C][=C][Branch2][=Branch1][C][/C][=Branch2][Branch1][Ring1][=N][/N][C][=C][C][=C][Branch2][Ring1][Branch1][N][=N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=C][C][=C][Branch1][Branch2][C][=C][Ring2][Ring1][=Branch1][Ring1][=Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=Branch1][C][=O][C][Ring2][Ring2][#Branch1][=Ring2][Ring2][Ring1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][SH0][Branch1][C][O-1][=Branch1][C][=O][=O],28,9,14,17
577,[S][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1],7,1,0,5
578,[O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N+1][Branch1][C][O-1][=O],7,1,4,5
579,[O][=Mo][=O],0,0,3,0
580,[O][=C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][Ring1][O],8,1,3,5
581,[O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],14,0,2,12
582,[C][C][C][C][C][C][C][C][O],8,0,1,18
583,[O][=Te][=O],0,0,2,0
584,[C][C][Branch1][C][C][=C][C][C][C][Branch1][C][C][Branch1][#Branch1][O][C][Branch1][C][C][=O][C][=C],12,0,2,20
585,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][C][Branch1][C][C][Branch1][C][C][C],14,0,1,22
586,[C][O][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][O][C@@H1][C][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][Branch2][Ring2][#Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@@H1][O][C@@H1][Branch1][C][C][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Ring1][=Branch2][O][C][=C][Ring2][Ring1][=N][O][Ring2][Ring2][C],28,0,15,34
587,[Ce+3].[Ce+3].[O-1][C][Branch1][C][O-1][=O].[O-1][C][Branch1][C][O-1][=O].[O-1][C][Branch1][C][O-1][=O],5,0,9,0
588,[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][Branch1][C][C][=O],10,0,2,20
589,[C][C][C][C][C][C][C][C][C][Branch1][C][C][C][#N],11,1,0,21
590,[C][C][N][C][=Branch1][C][=O][C][=Branch2][Ring1][Ring1][=N][/N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N+1][Branch1][C][O-1][=O][/C][=Branch1][O][=C][Branch1][Ring1][C][#N][C][Ring2][Ring1][Branch1][=O][C],16,5,4,12
591,[C][C][Branch1][C][C][C][C][C][C][=C],8,0,0,16
592,[Cl][C][C][C][=C][C][C][C][=Branch1][C][=O][N][C][=Ring1][=Branch1][C][=C][Ring1][#Branch2][Cl],12,1,1,9
593,[C][C][C][C][O][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][=Branch1][C][=O][O][C][C][O][C][C][C][C],18,0,6,34
594,[C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],14,0,0,14
595,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1],14,0,0,14
596,[Nd+3].[Nd+3].[O-1][C][Branch1][C][O-1][=O].[O-1][C][Branch1][C][O-1][=O].[O-1][C][Branch1][C][O-1][=O],3,2,9,0
597,[C][C][=Branch1][C][=O][O][C@@][Branch2][Ring1][=C][C][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][C][C@@H1][Ring1][#Branch1][C@H1][Ring1][O][C][C][C@][Ring2][Ring1][C][Ring1][#C][C][C][Branch1][C][C][=O],22,0,4,30
598,[O][C][=Branch1][C][=O][C][=C][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch1][=C][C][=C][Ring1][=N][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][O][=O],20,2,4,16
599,[O][=C][Branch1][O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][/C][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1],16,0,2,14
600,[O][=C][N][=C][Branch1][S][N][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],15,3,1,11
601,[O-2].[O-2].[O-2].[Gd+3].[Gd+3],0,0,3,0
602,[C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][=Branch2][C][C][C][=C][Branch1][C][C][C][C][=C],14,0,2,24
603,[C][C][=C][C][Branch1][C][C][=C][Branch1][Branch2][C][Branch1][C][C][=C][Ring1][Branch2][C][=Branch1][C][=O][PH0][=Branch1][C][=O][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],22,0,2,21
604,[C][C][C][C][C][Branch1][Ring1][C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][C][Branch1][C][C][C][O][C][=Branch1][C][=O][C][Branch1][Ring1][C][C][C][C][C][C],21,0,4,40
605,[O-2].[O-2].[O-2].[O-2].[O-2].[Ti+4].[Zr+4].[Pb+2],0,0,5,0
606,[C][C][O][C][=Branch1][C][=O][C][C][Branch1][#Branch1][C][=C][Branch1][C][C][C][C][Ring1][#Branch1][Branch1][C][C][C],12,0,2,20
607,[N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][Branch1][C][O-1][=O][C][=C][Ring2][Ring1][C],14,3,4,11
608,[C][C][=Branch1][C][=O][C][=C][C][=Branch1][#C][=C][C][=C][Ring1][=Branch1][C][C][C][Ring1][Branch1][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C],17,0,1,24
609,[C][O][C][=C][C][Branch2][Ring1][Ring2][N][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Ring1][N][=C][Ring2][Ring1][O][N],22,2,5,18
610,[H+1].[Mn+2].[C][C][=C][C][=Branch2][Ring2][Ring1][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][N][=N][C][=C][Branch1][C][O-1][C][=Branch1][N][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][C][Branch1][C][O-1][=O][SH0][Branch1][C][O-1][=Branch1][C][=O][=O],19,3,6,11
611,[C][C][=C][C][=C][Branch2][Ring2][Ring2][N][C][=C][C][Branch1][=Branch1][C][Branch1][C][O][=O][=C][Branch1][=N][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][Ring1][P][C][Branch1][C][O][=O][C][=C][Ring2][Ring1][O],22,2,4,20
612,[C][O][C][=C][C][Branch2][Ring1][Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][O][=C][Branch1][Ring1][O][C][C][=C][Ring2][Ring1][=Branch1][Cl],20,1,4,16
613,[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][=C],12,0,2,22
614,[C][C][C][C][C][Branch1][Ring1][C][C][C][Cl],9,0,0,17
615,[N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][P][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][C][=C][Ring1][S],14,3,2,13
616,[C].[C][C][C][C][C][C][C][C][C][C][C][C][O],13,0,1,30
617,[C][=C][C][=Branch1][C][=O][O][C][C][C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][=C],16,0,4,26
618,[C][C@H1][C][C][=Branch1][C][=O][C][C@@H1][C][C][C@H1][C@@H1][C][C][C@H1][Branch1][C][O][C@@][Ring1][=Branch1][Branch1][C][C][C][C][C@@H1][Ring1][O][C@@][Ring2][Ring1][Ring2][Ring1][#C][C],20,0,2,32
619,[C][C][Branch1][C][C][C][C][Branch1][N][C][C][Branch1][C][C][Branch1][C][C][N][Ring1][=Branch2][O][C][Branch1][=C][C][C][C][C][C][C][C][C][C][C][C][Ring1][N][N][C][Ring2][Ring1][Branch1][=O],22,2,2,40
620,[C][C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][O][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][Branch1][C][C][Branch1][C][C][C][C],16,0,1,26
621,[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][S][Sn][Branch1][C][C][Branch2][Ring1][C][S][C][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][C][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C],31,1,6,60
622,[Cl][C][=Branch1][C][=O][O][C][C][O][C][C][O][C][Branch1][C][Cl][=O],8,0,5,8
623,[Lu+3].[Lu+3].[O-1][C][=Branch1][C][=O][C][Branch1][C][O-1][=O].[O-1][C][=Branch1][C][=O][C][Branch1][C][O-1][=O].[O-1][C][=Branch1][C][=O][C][Branch1][C][O-1][=O],6,0,12,0
624,[O][C][C][=C][C][=C][C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][=N],13,0,2,12
625,[O][=C][C][C][C][C][C][C][C][C][C][C][C][N][Ring1][=N],12,1,1,23
626,[C][O][C][=Branch1][C][=O][\C][=C][\C][=C][C][=C][C][=C][Ring1][=Branch1],10,0,2,10
627,[C][S][C][=C][C][Branch1][Ring1][S][C][=C][Branch1][C][N][C][Branch1][C][C][=C][Ring1][#Branch2][N],9,2,0,14
628,[C][O][C][=C][C][=C][Branch1][Ring2][\C][=C][\C][C][=C][Ring1][=Branch2][O][C],11,0,2,14
629,[C][C][=C][C][=C][C][=C][C][=C][Branch1][C][O][C][Ring1][#Branch1][=N][Ring1][O],10,1,1,9
630,[Co+2].[C][C][C][C][C][C][Branch1][Branch2][C][C][C][Branch1][C][O-1][=O][C][Ring1][#Branch2].[C][C][C][C][C][C][Branch1][Branch2][C][C][C][Branch1][C][O-1][=O][C][Ring1][#Branch2],21,0,5,34
631,[C][C][Branch1][C][C][Branch1][=N][C][O][C][C][C][O][C][=Branch1][C][=O][C][=C][C][O][C][C][C][O][C][=Branch1][C][=O][C][=C],17,0,6,28
632,[C][C][C][C][C][O][C][=O],6,0,2,12
633,[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C],10,0,4,10
634,[C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],8,0,0,8
635,[C][C][C][C][C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][=C],10,0,2,18
636,[Cl][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][N][=C][Ring1][Branch2][Cl],9,1,0,1
637,[N][C][S][C][=C][Branch1][Ring2][N][=Ring1][Branch1][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2],13,2,0,10
638,[C][C][C][C][C][C][Branch1][Ring1][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],14,0,1,22
639,[C][C][C][C][C][C][C][C][C][C][=O],10,0,1,20
640,[C][C][=Branch1][C][=O][O][C][/C][=C][Branch1][C][C][/C][C][C][=C][Branch1][C][C][C],12,0,2,20
641,[C][C][Branch1][N][C][C][/C][=C][Branch1][C][C][/C][C][C][=O][C][=C],12,0,1,20
642,[C][C][O][C][=C][C][Branch1][Ring1][C][=O][=C][C][=C][Ring1][Branch2][O],9,0,3,10
643,[C][C][=Branch1][C][=O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],10,0,1,12
644,[C][O][C][=C][C][Branch1][N][N][C][=Branch1][C][=O][C][C][Branch1][C][C][=O][=C][Branch1][Ring1][O][C][C][=C][Ring1][#C][Cl],13,1,4,14
645,[C][C][=Branch1][C][=O][O][C][\C][=C][\C][=C][C][=C][C][=C][Ring1][=Branch1],11,0,2,12
646,[C][C][=Branch1][C][=O][O][C][=C][C][=C][Branch2][Ring2][#Branch1][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C],32,0,4,44
647,[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][C][C][Branch1][=C][N][C][=Branch1][C][=O][O][C][C][N][Branch1][C][C][C][=C][Ring1][S].[C][C][Branch1][C][O][C][Branch1][C][O][=O],24,3,7,41
648,[C][C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][Branch1][C][C][O],10,0,1,22
649,[Na+1].[Cl][N][C][=Branch1][C][=O][N-1][C][=Branch1][C][=O][N][Branch1][C][Cl][C][Ring1][=Branch2][=O],5,4,3,0
650,[N][C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][SH0][Branch1][C][O][=Branch1][C][=O][=O],6,1,4,7
651,[C][C@][C][C][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][C][C][C@H1][C@@H1][C][C][C@][Branch1][C][O][Branch1][#Branch1][C][=Branch1][C][=O][C][O][C@@][Ring1][#Branch2][Branch1][C][C][C][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][=Branch2][Ring1][S],21,0,5,30
652,[C][C][C][C][C][C][C][C][/C][=C][/C][C][C][C][C][C][C][C][Branch1][C][O][=O].[N][C][C][O],20,1,3,41
653,[C][C][Branch1][Ring1][C][O][C][C][C][C][C][=C][Branch1][C][C][C][Ring1][=Branch1][Branch1][C][C][C],13,0,1,24
654,[C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C],14,1,1,29
655,[C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Branch1][C][O][C][C][Ring1][#Branch1],10,0,1,20
656,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][N][Branch1][C][C][C],16,1,0,35
657,[C][C][C][Cl],4,0,0,7
658,[Zn+2].[C][C][Branch1][C][C][C][C][Branch1][C][C][O][PH0][Branch1][C][S-1][=Branch1][C][=S][O][C][Branch1][C][C][C].[C][C][Branch1][C][C][C][C][Branch1][C][C][O][PH0][Branch1][C][S-1][=Branch1][C][=S][O][C][Branch1][C][C][C],18,1,4,40
659,[O-1][N+1][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1],7,1,2,4
660,[C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2],12,0,1,10
661,[Na+1].[Na+1].[N][C][=C][C][=C][Branch2][#Branch1][S][N][=N][C][=C][C][=C][Branch2][#Branch1][C][N][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][=N][C][=C][Branch1][C][O][C][=C][Branch1][C][N][C][Branch2][Ring1][C][N][=N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][Branch1][C][O-1][=O][=C][Branch2][Ring1][Ring1][C][=C][Ring2][Ring1][C][C][=C][Ring2][Ring1][#Branch1][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=C][Ring2][Ring2][P][C][Branch1][C][N][=C][Ring2][Branch1][#Branch2],34,13,11,25
662,[C][C][Branch1][C][Cl][C][Cl],5,0,0,6
663,[C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1],8,1,0,11
664,[C][C][Branch1][C][C][C][C][O][C][C][C][Branch1][C][C][C],10,0,1,22
665,[Na+1].[C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=Branch1][C][=O][C][=C][Branch2][Ring1][N][N][N][C][=C][C][=C][Branch1][Branch2][N][C][=Branch1][C][=O][C][Cl][C][=C][Ring1][O][SH0][Branch1][C][O-1][=Branch1][C][=O][=O][C][=Branch1][C][=N][C][=C][C][Ring2][Ring1][Branch2][=C][Ring2][Ring1][=N],26,6,7,21
666,[C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2],9,0,0,6
667,[C][O][C][=C][C][=Branch1][O][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][N][SH0][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1],14,2,4,16
668,[C][C][=Branch1][C][=O][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Branch1][C][O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][O][=O],19,0,4,16
669,[H+1].[Cl-1].[C][C][=C][C][Branch1][#Branch1][C][=C][C][Ring1][=Branch1][=N][=C][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1],21,3,0,20
670,[C][C][Branch1][C][C][C][O][PH0][=Branch1][C][=O][Branch1][Branch2][O][C][C][Branch1][C][C][C][O][C][C][Branch1][C][C][C],12,0,4,27
671,[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C],9,0,2,10
672,[C][C][Branch1][C][C][=C],4,0,0,8
673,[C][C][=Branch1][C][=O][O][C][C@@H1][Branch1][#Branch1][O][C][Branch1][C][C][=O][C][=C],8,0,4,12
674,[N][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1],6,1,1,7
675,[C][C][C][C][=N][C][Branch1][C][C][=C][N][Ring1][=Branch1][N][C][=Branch1][=Branch1][=N][C][Ring1][=Branch1][=O][C][=C][C][=Branch1][=Branch2][=C][C][=C][Ring1][=Branch1][O][C][C][SH0][=Branch1][C][=O][=Branch1][C][=O][N][C][C][N][Branch1][Ring1][C][C][C][C][Ring1][Branch2],23,6,4,32
676,[C][C][C][C][C][C][C][C][/C][=C][/C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C][C][C][N][Branch1][C][C][C],23,2,1,46
677,[C][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl],9,0,0,6
678,[O][=C][C][C][C][C][C][C][C][C][C][C][C][Ring1][N],12,0,1,22
679,[C][C][Branch1][C][C][=C][C][C][C][Branch1][C][C][Branch1][C][O][C][#C],10,0,1,16
680,[C][C][=C][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][Branch1][C][O-1][=O][C][Branch1][C][O][=O],8,1,4,7
681,[C][O][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][N][SH0][Branch1][C][O][=Branch1][C][=O][=O],7,1,4,9
682,[O][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],13,0,3,10
683,[C][C][N][Branch1][Ring2][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][=N][C][S][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2][N+1][=Ring1][O][C].[C][C][Branch1][C][O-1][=O],21,4,4,26
684,[C][C][C][C][C][C@][Branch1][C][C][Branch1][=Branch1][C][C][O][Ring1][#Branch1][O][C][Branch1][C][C][=O].[C][C][C][C][C][C@@][Branch1][C][C][Branch1][=Branch1][C][C][O][Ring1][#Branch1][O][C][Branch1][C][C][=O],22,0,6,40
685,[C][C][C][C][C][Branch1][Ring1][C][C][C][N],8,1,0,19
686,[C][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][Cl],8,1,0,8
687,[O][C][=C][C][=C][Branch1][Branch2][C][Branch1][C][O][=C][Ring1][#Branch1][C][=C][Branch1][C][O][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][Branch1][C][O][C][=C][Ring1][Branch2][O][Ring1][=C],15,0,7,10
688,[C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],20,0,3,18
689,[C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl],9,0,0,6
