,smiles,carbons,nitrogens,oxygens,hydrogens
10301,CCC1(CC1)NC=O,6,1,1,11
10302,CCC1(CC1)OC=O,6,0,2,10
10303,CCC1(CC=O)CC1,7,0,1,12
10304,CCC1(CC=O)CN1,6,1,1,11
10305,CCC1(CC=O)CO1,6,0,2,10
10306,COC1(CC=O)CC1,6,0,2,10
10307,OCC1(CC1)NC=O,5,1,2,9
10308,OCC1(CC1)OC=N,5,1,2,9
10309,OCC1(CC1)OC=O,5,0,3,8
10310,OCC1(CC=O)CC1,6,0,2,10
10311,OCC1(CC=O)CN1,5,1,2,9
10312,OCC1(CC=O)CO1,5,0,3,8
10313,CCC1(CCO)CC1,7,0,1,14
10314,CCC1(CCO)CO1,6,0,2,12
10315,CCC1(COC)CC1,7,0,1,14
10316,CCC1(COC)CN1,6,1,1,13
10317,CCC1(COC)CO1,6,0,2,12
10318,CCCC1(CC)CC1,8,0,0,16
10319,CCCC1(CC)CO1,7,0,1,14
10320,CCCC1(CC1)OC,7,0,1,14
10321,CCCC1(CO)CC1,7,0,1,14
10322,CCCC1(CO)CN1,6,1,1,13
10323,CCCC1(CO)CO1,6,0,2,12
10324,CCOC1(CC)CC1,7,0,1,14
10325,CCOC1(CO)CC1,6,0,2,12
10326,COC1(CCO)CC1,6,0,2,12
10327,COCC1(CC1)OC,6,0,2,12
10328,COCC1(CO)CC1,6,0,2,12
10329,COCC1(CO)CN1,5,1,2,11
10330,COCC1(CO)CO1,5,0,3,10
10331,OCCC1(CO)CC1,6,0,2,12
10332,OCCC1(CO)CN1,5,1,2,11
10333,OCCC1(CO)CO1,5,0,3,10
10334,CCCC1(CC1)C#C,8,0,0,12
10335,CCCC1(CC1)C#N,7,1,0,11
10336,CCCC1(CN1)C#C,7,1,0,11
10337,CCCC1(CN1)C#N,6,2,0,10
10338,CCCC1(CO1)C#C,7,0,1,10
10339,CCCC1(CO1)C#N,6,1,1,9
10340,CCNC1(CC1)C#N,6,2,0,10
10341,CCOC1(CC1)C#C,7,0,1,10
10342,CCOC1(CC1)C#N,6,1,1,9
10343,CNCC1(CN1)C#N,5,3,0,9
10344,CNCC1(CO1)C#N,5,2,1,8
10345,COCC1(CC1)C#C,7,0,1,10
10346,COCC1(CC1)C#N,6,1,1,9
10347,COCC1(CN1)C#C,6,1,1,9
10348,COCC1(CN1)C#N,5,2,1,8
10349,COCC1(CO1)C#C,6,0,2,8
10350,COCC1(CO1)C#N,5,1,2,7
10351,OCCC1(CC1)C#C,7,0,1,10
10352,OCCC1(CC1)C#N,6,1,1,9
10353,OCCC1(CN1)C#C,6,1,1,9
10354,OCCC1(CN1)C#N,5,2,1,8
10355,OCCC1(CO1)C#C,6,0,2,8
10356,OCCC1(CO1)C#N,5,1,2,7
10357,CCCC1(CC1)C=O,7,0,1,12
10358,CCCC1(CN1)C=O,6,1,1,11
10359,CCCC1(CO1)C=O,6,0,2,10
10360,CCOC1(CC1)C=O,6,0,2,10
10361,COCC1(CC1)C=O,6,0,2,10
10362,COCC1(CN1)C=O,5,1,2,9
10363,COCC1(CO1)C=O,5,0,3,8
10364,OCCC1(CC1)C=O,6,0,2,10
10365,OCCC1(CN1)C=O,5,1,2,9
10366,OCCC1(CO1)C=O,5,0,3,8
10367,CC1CC1(C#C)C#C,8,0,0,8
10368,CC1CC1(C#C)C#N,7,1,0,7
10369,CC1CC1(C#N)C#N,6,2,0,6
10370,CC1NC1(C#C)C#C,7,1,0,7
10371,CC1NC1(C#C)C#N,6,2,0,6
10372,CC1NC1(C#N)C#N,5,3,0,5
10373,CC1OC1(C#C)C#C,7,0,1,6
10374,CC1OC1(C#C)C#N,6,1,1,5
10375,CC1OC1(C#N)C#N,5,2,1,4
10376,CN1CC1(C#C)C#C,7,1,0,7
10377,CN1CC1(C#C)C#N,6,2,0,6
10378,CN1CC1(C#N)C#N,5,3,0,5
10379,NC1CC1(C#C)C#N,6,2,0,6
10380,NC1CC1(C#N)C#N,5,3,0,5
10381,OC1CC1(C#C)C#C,7,0,1,6
10382,OC1CC1(C#C)C#N,6,1,1,5
10383,OC1CC1(C#N)C#N,5,2,1,4
10384,CC1CC1(C=O)C#C,7,0,1,8
10385,CC1CC1(C=O)C#N,6,1,1,7
10386,CC1NC1(C=O)C#C,6,1,1,7
10387,CC1NC1(C=O)C#N,5,2,1,6
10388,CC1OC1(C=O)C#C,6,0,2,6
10389,CC1OC1(C=O)C#N,5,1,2,5
10390,CN1CC1(C=O)C#C,6,1,1,7
10391,CN1CC1(C=O)C#N,5,2,1,6
10392,OC1CC1(C=O)C#C,6,0,2,6
10393,OC1CC1(C=O)C#N,5,1,2,5
10394,CC1CC1(C=O)C=O,6,0,2,8
10395,CC1NC1(C=O)C=O,5,1,2,7
10396,CC1OC1(C=O)C=O,5,0,3,6
10397,CN1CC1(C=O)C=O,5,1,2,7
10398,OC1CC1(C=O)C=O,5,0,3,6
10399,CC1CC1(CO)CO,6,0,2,12
10400,CC1NC1(CO)CO,5,1,2,11
10401,CC1OC1(CO)CO,5,0,3,10
10402,CCC1(CC)CC1C,8,0,0,16
10403,CCC1(CC)CC1O,7,0,1,14
10404,CCC1(CC)CN1C,7,1,0,15
10405,CCC1(CC)OC1C,7,0,1,14
10406,CCC1(CC1C)OC,7,0,1,14
10407,CCC1(CC1O)OC,6,0,2,12
10408,CCC1(CO)CC1C,7,0,1,14
10409,CCC1(CO)CC1O,6,0,2,12
10410,CCC1(CO)CN1C,6,1,1,13
10411,CCC1(CO)NC1C,6,1,1,13
10412,CCC1(CO)OC1C,6,0,2,12
10413,CN1CC1(CO)CO,5,1,2,11
10414,COC1(CO)CC1C,6,0,2,12
10415,COC1(CO)CC1O,5,0,3,10
10416,OCC1(CO)CC1O,5,0,3,10
10417,CC1CC1(CO)C#C,7,0,1,10
10418,CC1CC1(CO)C#N,6,1,1,9
10419,CC1NC1(CN)C#N,5,3,0,9
10420,CC1NC1(CO)C#C,6,1,1,9
10421,CC1NC1(CO)C#N,5,2,1,8
10422,CC1OC1(CN)C#N,5,2,1,8
10423,CC1OC1(CO)C#C,6,0,2,8
10424,CC1OC1(CO)C#N,5,1,2,7
10425,CCC1(CC1C)C#C,8,0,0,12
10426,CCC1(CC1C)C#N,7,1,0,11
10427,CCC1(CC1O)C#C,7,0,1,10
10428,CCC1(CC1O)C#N,6,1,1,9
10429,CCC1(CN1C)C#C,7,1,0,11
10430,CCC1(CN1C)C#N,6,2,0,10
10431,CCC1(NC1C)C#C,7,1,0,11
10432,CCC1(NC1C)C#N,6,2,0,10
10433,CCC1(OC1C)C#C,7,0,1,10
10434,CCC1(OC1C)C#N,6,1,1,9
10435,CN1CC1(CN)C#N,5,3,0,9
10436,CN1CC1(CO)C#C,6,1,1,9
10437,CN1CC1(CO)C#N,5,2,1,8
10438,CNC1(CC1C)C#N,6,2,0,10
10439,CNC1(CC1N)C#N,5,3,0,9
10440,CNC1(CC1O)C#N,5,2,1,8
10441,COC1(CC1C)C#C,7,0,1,10
10442,COC1(CC1C)C#N,6,1,1,9
10443,COC1(CC1N)C#N,5,2,1,8
10444,COC1(CC1O)C#C,6,0,2,8
10445,COC1(CC1O)C#N,5,1,2,7
10446,NC1CC1(CO)C#N,5,2,1,8
10447,OCC1(CC1O)C#C,6,0,2,8
10448,OCC1(CC1O)C#N,5,1,2,7
10449,CC1CC1(CO)C=O,6,0,2,10
10450,CC1NC1(CO)C=O,5,1,2,9
10451,CC1OC1(CO)C=O,5,0,3,8
10452,CCC1(CC1C)C=O,7,0,1,12
10453,CCC1(CC1O)C=O,6,0,2,10
10454,CCC1(CN1C)C=O,6,1,1,11
10455,CCC1(NC1C)C=O,6,1,1,11
10456,CCC1(OC1C)C=O,6,0,2,10
10457,CN1CC1(CO)C=O,5,1,2,9
10458,COC1(CC1C)C=O,6,0,2,10
10459,COC1(CC1O)C=O,5,0,3,8
10460,OCC1(CC1O)C=O,5,0,3,8
10461,CC(=O)C1(CC1)C#C,7,0,1,8
10462,CC(=O)C1(CC1)C#N,6,1,1,7
10463,CC(=O)C1(CN1)C#C,6,1,1,7
10464,CC(=O)C1(CN1)C#N,5,2,1,6
10465,CC(=O)C1(CO1)C#C,6,0,2,6
10466,CC(=O)C1(CO1)C#N,5,1,2,5
10467,NC(=N)C1(CO1)C#N,4,3,1,5
10468,NC(=O)C1(CC1)C#C,6,1,1,7
10469,NC(=O)C1(CC1)C#N,5,2,1,6
10470,NC(=O)C1(CN1)C#C,5,2,1,6
10471,NC(=O)C1(CN1)C#N,4,3,1,5
10472,NC(=O)C1(CO1)C#C,5,1,2,5
10473,NC(=O)C1(CO1)C#N,4,2,2,4
10474,CC(=O)C1(CC1)C=O,6,0,2,8
10475,CC(=O)C1(CN1)C=O,5,1,2,7
10476,CC(=O)C1(CO1)C=O,5,0,3,6
10477,NC(=O)C1(CC1)C=O,5,1,2,7
10478,NC(=O)C1(CN1)C=O,4,2,2,6
10479,NC(=O)C1(CO1)C=O,4,1,3,5
10480,CC(C)C1(CC1)C#C,8,0,0,12
10481,CC(C)C1(CC1)C#N,7,1,0,11
10482,CC(C)C1(CN1)C#C,7,1,0,11
10483,CC(C)C1(CN1)C#N,6,2,0,10
10484,CC(C)C1(CO1)C#C,7,0,1,10
10485,CC(C)C1(CO1)C#N,6,1,1,9
10486,CC(N)C1(CN1)C#N,5,3,0,9
10487,CC(N)C1(CO1)C#N,5,2,1,8
10488,CC(O)C1(CC1)C#C,7,0,1,10
10489,CC(O)C1(CC1)C#N,6,1,1,9
10490,CC(O)C1(CN1)C#C,6,1,1,9
10491,CC(O)C1(CN1)C#N,5,2,1,8
10492,CC(O)C1(CO1)C#C,6,0,2,8
10493,CC(O)C1(CO1)C#N,5,1,2,7
10494,CN(C)C1(CC1)C#N,6,2,0,10
10495,CC(C)C1(CC1)C=O,7,0,1,12
10496,CC(C)C1(CN1)C=O,6,1,1,11
10497,CC(C)C1(CO1)C=O,6,0,2,10
10498,CC(O)C1(CC1)C=O,6,0,2,10
10499,CC(O)C1(CN1)C=O,5,1,2,9
10500,CC(O)C1(CO1)C=O,5,0,3,8
10501,CN(C)C1(CC1)C=O,6,1,1,11
10502,CC(=O)C1(CO)CC1,6,0,2,10
10503,CC(=O)C1(CO)CN1,5,1,2,9
10504,CC(=O)C1(CO)CO1,5,0,3,8
10505,CCC1(CC1)C(C)=O,7,0,1,12
10506,CCC1(CC1)C(N)=O,6,1,1,11
10507,CCC1(CN1)C(C)=O,6,1,1,11
10508,CCC1(CN1)C(N)=O,5,2,1,10
10509,CCC1(CO1)C(C)=O,6,0,2,10
10510,CCC1(CO1)C(N)=O,5,1,2,9
10511,COC1(CC1)C(C)=O,6,0,2,10
10512,COC1(CC1)C(N)=O,5,1,2,9
10513,NC(=O)C1(CO)CC1,5,1,2,9
10514,NC(=O)C1(CO)CN1,4,2,2,8
10515,NC(=O)C1(CO)CO1,4,1,3,7
10516,CC(C)C1(CO)CC1,7,0,1,14
10517,CC(C)C1(CO)CN1,6,1,1,13
10518,CC(C)C1(CO)CO1,6,0,2,12
10519,CC(O)C1(CO)CC1,6,0,2,12
10520,CC(O)C1(CO)CN1,5,1,2,11
10521,CC(O)C1(CO)CO1,5,0,3,10
10522,CCC1(CC1)C(C)C,8,0,0,16
10523,CCC1(CC1)C(C)O,7,0,1,14
10524,CCC1(CN1)C(C)O,6,1,1,13
10525,CCC1(CO1)C(C)C,7,0,1,14
10526,CCC1(CO1)C(C)O,6,0,2,12
10527,COC1(CC1)C(C)C,7,0,1,14
10528,COC1(CC1)C(C)O,6,0,2,12
10529,CC(C)(C#C)C1CC1,8,0,0,12
10530,CC(C)(C#C)C1CO1,7,0,1,10
10531,CC(C)(C#C)N1CC1,7,1,0,11
10532,CC(C)(C#N)C1CC1,7,1,0,11
10533,CC(C)(C#N)C1CN1,6,2,0,10
10534,CC(C)(C#N)C1CO1,6,1,1,9
10535,CC(C)(C#N)N1CC1,6,2,0,10
10536,CC(N)(C#N)C1CC1,6,2,0,10
10537,CC(N)(C#N)C1CN1,5,3,0,9
10538,CC(N)(C#N)C1CO1,5,2,1,8
10539,CC(O)(C#C)C1CC1,7,0,1,10
10540,CC(O)(C#C)C1CN1,6,1,1,9
10541,CC(O)(C#C)C1CO1,6,0,2,8
10542,CC(O)(C#N)C1CC1,6,1,1,9
10543,CC(O)(C#N)C1CN1,5,2,1,8
10544,CC(O)(C#N)C1CO1,5,1,2,7
10545,CC(C)(C=O)C1CC1,7,0,1,12
10546,CC(C)(C=O)C1CO1,6,0,2,10
10547,CC(C)(C=O)N1CC1,6,1,1,11
10548,CC(O)(C=O)C1CC1,6,0,2,10
10549,CC(O)(C=O)C1CN1,5,1,2,9
10550,CC(O)(C=O)C1CO1,5,0,3,8
10551,CC(C)(CO)C1CC1,7,0,1,14
10552,CC(C)(CO)C1CO1,6,0,2,12
10553,CC(C)(CO)N1CC1,6,1,1,13
10554,CC(O)(CO)C1CC1,6,0,2,12
10555,CC(O)(CO)C1CN1,5,1,2,11
10556,CC(O)(CO)C1CO1,5,0,3,10
10557,CCC(C)(C)C1CC1,8,0,0,16
10558,CCC(C)(C)C1CO1,7,0,1,14
10559,CCC(C)(O)C1CC1,7,0,1,14
10560,CCC(C)(O)C1CN1,6,1,1,13
10561,CCC(C)(O)C1CO1,6,0,2,12
10562,COC(C)(C)C1CC1,7,0,1,14
10563,COC(C)(C)C1CN1,6,1,1,13
10564,COC(C)(C)C1CO1,6,0,2,12
10565,CC1C(C)C(=O)C1C,7,0,1,12
10566,CC1C(C)C(=O)C1O,6,0,2,10
10567,CC1C(C)C(=O)N1C,6,1,1,11
10568,CC1C(O)C(=O)C1O,5,0,3,8
10569,CC1C(O)C(=O)N1C,5,1,2,9
10570,CC1C(O)C(C)C1=O,6,0,2,10
10571,CC1C(O)C(O)C1=O,5,0,3,8
10572,CC1N(C)C(C)C1=O,6,1,1,11
10573,OC1C(O)C(=O)C1O,4,0,4,6
10574,CC1C(C)C(C)C1C,8,0,0,16
10575,CC1C(C)C(O)C1C,7,0,1,14
10576,CC1C(C)C(O)C1O,6,0,2,12
10577,CC1C(O)C(C)C1O,6,0,2,12
10578,CC1C(O)C(O)C1O,5,0,3,10
10579,OC1C(O)C(O)C1O,4,0,4,8
10580,O=C1CCC(=O)C=C1,6,0,2,6
10581,N=C1CCC(=O)CO1,5,1,2,7
10582,N=C1CNC(=O)CO1,4,2,2,6
10583,N=C1COC(=N)CO1,4,2,2,6
10584,N=C1COC(=O)CN1,4,2,2,6
10585,N=C1COC(=O)CO1,4,1,3,5
10586,N=C1OCC(=O)CO1,4,1,3,5
10587,O=C1CCC(=O)CC1,6,0,2,8
10588,O=C1CCC(=O)NC1,5,1,2,7
10589,O=C1CCC(=O)OC1,5,0,3,6
10590,O=C1CNC(=O)CN1,4,2,2,6
10591,O=C1CNC(=O)NC1,4,2,2,6
10592,O=C1CNC(=O)OC1,4,1,3,5
10593,O=C1COC(=O)CN1,4,1,3,5
10594,O=C1COC(=O)CO1,4,0,4,4
10595,O=C1COC(=O)OC1,4,0,4,4
10596,CC1=CCC(=N)OC1,6,1,1,9
10597,CC1=CCC(=O)CC1,7,0,1,10
10598,CC1=CCC(=O)NC1,6,1,1,9
10599,CC1=CCC(=O)OC1,6,0,2,8
10600,CC1=CNC(=O)CC1,6,1,1,9
10601,CC1=CNC(=O)NC1,5,2,1,8
10602,CC1=CNC(=O)OC1,5,1,2,7
10603,CC1=NCC(=O)CO1,5,1,2,7
10604,NC1=NCC(=N)OC1,4,3,1,7
10605,NC1=NCC(=O)CO1,4,2,2,6
10606,NC1=NCC(=O)OC1,4,2,2,6
10607,CC1CCC(=O)C=C1,7,0,1,10
10608,CC1CNC(=O)C=C1,6,1,1,9
10609,CC1COC(=O)C=C1,6,0,2,8
10610,CC1NCC(=O)C=C1,6,1,1,9
10611,CC1OCC(=O)C=C1,6,0,2,8
10612,CN1CCC(=O)C=C1,6,1,1,9
10613,OC1CCC(=O)C=C1,6,0,2,8
10614,OC1CNC(=O)C=C1,5,1,2,7
10615,OC1COC(=N)C=C1,5,1,2,7
10616,OC1COC(=O)C=C1,5,0,3,6
10617,CC1CCC(=N)OC1,6,1,1,11
10618,CC1CCC(=O)CC1,7,0,1,12
10619,CC1CCC(=O)CN1,6,1,1,11
10620,CC1CCC(=O)CO1,6,0,2,10
10621,CC1CCC(=O)NC1,6,1,1,11
10622,CC1CCC(=O)OC1,6,0,2,10
10623,CC1CNC(=O)CN1,5,2,1,10
10624,CC1CNC(=O)CO1,5,1,2,9
10625,CC1CNC(=O)NC1,5,2,1,10
10626,CC1CNC(=O)OC1,5,1,2,9
10627,CC1COC(=N)CN1,5,2,1,10
10628,CC1COC(=N)CO1,5,1,2,9
10629,CC1COC(=N)OC1,5,1,2,9
10630,CC1COC(=O)CN1,5,1,2,9
10631,CC1COC(=O)CO1,5,0,3,8
10632,CC1COC(=O)OC1,5,0,3,8
10633,CC1OCC(=O)CO1,5,0,3,8
10634,CN1CCC(=O)CC1,6,1,1,11
10635,OC1CCC(=N)OC1,5,1,2,9
10636,OC1CCC(=O)CC1,6,0,2,10
10637,OC1CCC(=O)NC1,5,1,2,9
10638,OC1CCC(=O)OC1,5,0,3,8
10639,OC1CNC(=O)NC1,4,2,2,8
10640,OC1CNC(=O)OC1,4,1,3,7
10641,OC1COC(=N)OC1,4,1,3,7
10642,OC1COC(=O)OC1,4,0,4,6
10643,CC1=CCC(O)CC1,7,0,1,12
10644,CC1=NCC(O)CO1,5,1,2,9
10645,CC1CC=C(C)CO1,7,0,1,12
10646,CC1CCC(C)=CC1,8,0,0,14
10647,CC1COC(C)=NC1,6,1,1,11
10648,CC1CCC(C)C=C1,8,0,0,14
10649,CC1CCC(O)C=C1,7,0,1,12
10650,CC1COC(C)C=C1,7,0,1,12
10651,CC1OCC(O)C=C1,6,0,2,10
10652,OC1CCC(O)C=C1,6,0,2,10
10653,CC1CCC(C)CC1,8,0,0,16
10654,CC1CCC(C)OC1,7,0,1,14
10655,CC1CCC(O)CC1,7,0,1,14
10656,CC1CCC(O)CO1,6,0,2,12
10657,CC1COC(C)CO1,6,0,2,12
10658,CC1COC(C)OC1,6,0,2,12
10659,CC1OCC(O)CO1,5,0,3,10
10660,OC1CCC(O)CC1,6,0,2,12
10661,CC12CC(C1O)C2=O,6,0,2,8
10662,CC12NC(C1O)C2=O,5,1,2,7
10663,CC12OC(C1O)C2=O,5,0,3,6
10664,CC1C2CC1(C)C2=O,7,0,1,10
10665,CC1C2CC1(O)C2=O,6,0,2,8
10666,CC1C2NC1(C)C2=O,6,1,1,9
10667,CC1C2OC1(C)C2=O,6,0,2,8
10668,CN1C2CC1(C)C2=O,6,1,1,9
10669,OC1C2CC1(O)C2=O,5,0,3,6
10670,CC12CC(C1O)C2O,6,0,2,10
10671,CC12NC(C1O)C2O,5,1,2,9
10672,CC12OC(C1O)C2O,5,0,3,8
10673,CC1C2CC1(C)C2C,8,0,0,14
10674,CC1C2CC1(C)C2O,7,0,1,12
10675,CC1C2CC1(O)C2C,7,0,1,12
10676,CC1C2CC1(O)C2O,6,0,2,10
10677,CC1C2OC1(C)C2C,7,0,1,12
10678,CC1C2OC1(C)C2O,6,0,2,10
10679,CC1N2CC1(O)C2C,6,1,1,11
10680,CN1C2CC1(C)C2O,6,1,1,11
10681,OC1C2CC1(O)C2O,5,0,3,8
10682,CC12CC1C(=O)C2O,6,0,2,8
10683,CC12CN1C(=N)C2O,5,2,1,8
10684,CC12CN1C(=O)C2O,5,1,2,7
10685,CC12NC1C(=O)C2O,5,1,2,7
10686,CC12OC1C(=O)C2O,5,0,3,6
10687,CC1C(=O)C2CC12C,7,0,1,10
10688,CC1C(=O)C2CC12O,6,0,2,8
10689,CC1C(=O)C2NC12C,6,1,1,9
10690,CC1C(=O)C2OC12C,6,0,2,8
10691,CC1C(=O)N2CC12C,6,1,1,9
10692,CN1C(=O)C2CC12C,6,1,1,9
10693,OC1C(=O)C2CC12O,5,0,3,6
10694,CC12CC1C(O)C2=O,6,0,2,8
10695,CC12NC1C(O)C2=O,5,1,2,7
10696,CC12OC1C(O)C2=O,5,0,3,6
10697,CC1C2CC2(C)C1=O,7,0,1,10
10698,CC1C2CC2(O)C1=O,6,0,2,8
10699,CC1C2NC2(C)C1=O,6,1,1,9
10700,CC1C2OC2(C)C1=O,6,0,2,8
10701,CC1N2CC2(C)C1=O,6,1,1,9
10702,CN1C2CC2(C)C1=O,6,1,1,9
10703,CN1C2CC2(O)C1=O,5,1,2,7
10704,OC1C2CC2(O)C1=O,5,0,3,6
10705,CC12CC1C(O)C2O,6,0,2,10
10706,CC12NC1C(O)C2O,5,1,2,9
10707,CC12OC1C(O)C2O,5,0,3,8
10708,CC1C(O)C2(C)CN12,6,1,1,11
10709,CC1C(O)C2CC12C,7,0,1,12
10710,CC1C(O)C2CC12O,6,0,2,10
10711,CC1C(O)C2NC12C,6,1,1,11
10712,CC1C(O)C2OC12C,6,0,2,10
10713,CC1C2CC2(C)C1C,8,0,0,14
10714,CC1C2CC2(C)C1O,7,0,1,12
10715,CC1C2CC2(O)C1C,7,0,1,12
10716,CC1C2CC2(O)C1O,6,0,2,10
10717,CC1C2NC2(C)C1O,6,1,1,11
10718,CC1C2OC2(C)C1C,7,0,1,12
10719,CC1C2OC2(C)C1O,6,0,2,10
10720,CC1N(C)C2CC12O,6,1,1,11
10721,OC1C2CC2(O)C1O,5,0,3,8
10722,CC12CC(C#C)C1N2,7,1,0,9
10723,CC12CC(C#C)C1O2,7,0,1,8
10724,CC12CC(C#N)C1N2,6,2,0,8
10725,CC12CC(C#N)C1O2,6,1,1,7
10726,CC12CC1C(C2)C#C,8,0,0,10
10727,CC12CC1C(C2)C#N,7,1,0,9
10728,CC12CC1C(N2)C#N,6,2,0,8
10729,CC12CC1C(O2)C#C,7,0,1,8
10730,CC12CC1C(O2)C#N,6,1,1,7
10731,CC12CN1C(C2)C#C,7,1,0,9
10732,CC12CN1C(C2)C#N,6,2,0,8
10733,OC12CC1C(C2)C#C,7,0,1,8
10734,OC12CC1C(C2)C#N,6,1,1,7
10735,CC12CC(C=O)C1N2,6,1,1,9
10736,CC12CC(C=O)C1O2,6,0,2,8
10737,CC12CC1C(C2)C=O,7,0,1,10
10738,CC12CC1C(O2)C=O,6,0,2,8
10739,CC12CC1N(C2)C=O,6,1,1,9
10740,CC12CN1C(C2)C=O,6,1,1,9
10741,OC12CC1C(C2)C=O,6,0,2,8
10742,OC12CC1N(C2)C=O,5,1,2,7
10743,CN=C1OC2(C)CC12,6,1,1,9
10744,CC12CC(CO)C1N2,6,1,1,11
10745,CC12CC(CO)C1O2,6,0,2,10
10746,CC12CC1C(CO)C2,7,0,1,12
10747,CC12CC1C(CO)O2,6,0,2,10
10748,CC12CN1C(CO)C2,6,1,1,11
10749,CCC1CC2(C)CC12,8,0,0,14
10750,CCC1CC2(C)OC12,7,0,1,12
10751,CCC1CC2(O)CC12,7,0,1,12
10752,CCC1OC2(C)CC12,7,0,1,12
10753,CCN1CC2(O)CC12,6,1,1,11
10754,COC1CC2(C)CC12,7,0,1,12
10755,COC1CC2(C)NC12,6,1,1,11
10756,COC1CC2(C)OC12,6,0,2,10
10757,COC1CC2(O)CC12,6,0,2,10
10758,OCC1CC2(O)CC12,6,0,2,10
10759,CC12CC(C=C1)C2=O,7,0,1,8
10760,CC12NC(C=C1)C2=O,6,1,1,7
10761,CC12OC(C=C1)C2=O,6,0,2,6
10762,OC12CC(C=C1)C2=O,6,0,2,6
10763,CC12CC(CC1)C2=O,7,0,1,10
10764,CC12CC(CO1)C2=O,6,0,2,8
10765,CC12CC(OC1)C2=O,6,0,2,8
10766,CC12CCC(N1)C2=O,6,1,1,9
10767,CC12CCC(O1)C2=O,6,0,2,8
10768,OC12CC(CC1)C2=O,6,0,2,8
10769,OC12CC(OC1)C2=O,5,0,3,6
10770,CC12CC(C=C1)C2O,7,0,1,10
10771,CC12NC(C=C1)C2O,6,1,1,9
10772,CC12OC(C=C1)C2O,6,0,2,8
10773,CC1C2CC1(C)C=C2,8,0,0,12
10774,CC1C2CC1(O)C=C2,7,0,1,10
10775,CC1C2OC1(C)C=C2,7,0,1,10
10776,OC1C2CC1(O)C=C2,6,0,2,8
10777,CC12CC(CC1)C2O,7,0,1,12
10778,CC12CC(CO1)C2O,6,0,2,10
10779,CC12CC(OC1)C2O,6,0,2,10
10780,CC12CCC(O1)C2O,6,0,2,10
10781,CC1C2CC1(C)CC2,8,0,0,14
10782,CC1C2CC1(C)CO2,7,0,1,12
10783,CC1C2CC1(C)OC2,7,0,1,12
10784,CC1C2CC1(O)CC2,7,0,1,12
10785,CC1C2CC1(O)CO2,6,0,2,10
10786,CC1C2CCC1(C)O2,7,0,1,12
10787,OC1C2CC1(O)CC2,6,0,2,10
10788,OC1C2CC1(O)CO2,5,0,3,8
10789,CC12CC1C(=O)C=C2,7,0,1,8
10790,CC12CN1C(=O)C=C2,6,1,1,7
10791,CC12NC1C(=O)C=C2,6,1,1,7
10792,CC12OC1C(=O)C=C2,6,0,2,6
10793,OC12CC1C(=O)C=C2,6,0,2,6
10794,CC12CC1C(=N)OC2,6,1,1,9
10795,CC12CC1C(=O)CC2,7,0,1,10
10796,CC12CC1C(=O)CO2,6,0,2,8
10797,CC12CC1C(=O)NC2,6,1,1,9
10798,CC12CC1C(=O)OC2,6,0,2,8
10799,CC12CCC(=O)C1N2,6,1,1,9
10800,CC12CCC(=O)C1O2,6,0,2,8
10801,CC12CN1C(=N)OC2,5,2,1,8
10802,CC12CN1C(=O)CC2,6,1,1,9
10803,CC12CN1C(=O)NC2,5,2,1,8
10804,CC12CN1C(=O)OC2,5,1,2,7
10805,CC12CNC(=O)C1N2,5,2,1,8
10806,CC12CNC(=O)C1O2,5,1,2,7
10807,CC12COC(=N)C1N2,5,2,1,8
10808,CC12COC(=N)C1O2,5,1,2,7
10809,CC12COC(=O)C1N2,5,1,2,7
10810,CC12COC(=O)C1O2,5,0,3,6
10811,OC12CC1C(=N)OC2,5,1,2,7
10812,OC12CC1C(=O)CC2,6,0,2,8
10813,OC12CC1C(=O)NC2,5,1,2,7
10814,OC12CC1C(=O)OC2,5,0,3,6
10815,CC12CN=C(N)C1O2,5,2,1,8
10816,CC1=CCC2(C)CC12,8,0,0,12
10817,CC1=CCC2(C)NC12,7,1,0,11
10818,CC1=CCC2(C)OC12,7,0,1,10
10819,CC1=CCC2(O)CC12,7,0,1,10
10820,CC12CC1C(O)C=C2,7,0,1,10
10821,CC12NC1C(O)C=C2,6,1,1,9
10822,CC12OC1C(O)C=C2,6,0,2,8
10823,CC1C=CC2(C)CC12,8,0,0,12
10824,CC1C=CC2(C)NC12,7,1,0,11
10825,CC1C=CC2(C)OC12,7,0,1,10
10826,CC1C=CC2(O)CC12,7,0,1,10
10827,OC1C=CC2(O)CC12,6,0,2,8
10828,CC12CC1C(O)CC2,7,0,1,12
10829,CC12CC1C(O)CO2,6,0,2,10
10830,CC12CCC(O)C1N2,6,1,1,11
10831,CC12CCC(O)C1O2,6,0,2,10
10832,CC1CCC2(C)CC12,8,0,0,14
10833,CC1CCC2(C)OC12,7,0,1,12
10834,CC1CCC2(O)CC12,7,0,1,12
10835,CC1COC2(C)CC12,7,0,1,12
10836,CC1OCC2(C)CC12,7,0,1,12
10837,CC1OCC2(C)NC12,6,1,1,11
10838,CC1OCC2(C)OC12,6,0,2,10
10839,CC1OCC2(O)CC12,6,0,2,10
10840,OC1CCC2(O)CC12,6,0,2,10
10841,CC12CC(C=C1)C=C2,8,0,0,10
10842,CC12OC(C=C1)C=C2,7,0,1,8
10843,OC12CC(C=C1)C=C2,7,0,1,8
10844,CC12CC(CO1)C=C2,7,0,1,10
